,ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
82,2018,2018,0,Total,31842,5150.0,"Census Tract 85, Philadelphia County, PA",14000US42101008500
83,2018,2018,0,Total,53393,8059.000000000001,"Census Tract 86.01, Philadelphia County, PA",14000US42101008601
84,2018,2018,0,Total,39543,6687.0,"Census Tract 86.02, Philadelphia County, PA",14000US42101008602
85,2018,2018,0,Total,44125,11497.0,"Census Tract 87.01, Philadelphia County, PA",14000US42101008701
86,2018,2018,0,Total,31823,4396.0,"Census Tract 87.02, Philadelphia County, PA",14000US42101008702
87,2018,2018,0,Total,30208,16135.0,"Census Tract 88.01, Philadelphia County, PA",14000US42101008801
88,2018,2018,0,Total,18667,6969.0,"Census Tract 88.02, Philadelphia County, PA",14000US42101008802
89,2018,2018,0,Total,23333,5772.0,"Census Tract 90, Philadelphia County, PA",14000US42101009000
90,2018,2018,0,Total,26426,9944.0,"Census Tract 91, Philadelphia County, PA",14000US42101009100
91,2018,2018,0,Total,21121,3428.9999999999995,"Census Tract 92, Philadelphia County, PA",14000US42101009200
92,2018,2018,0,Total,25884,4446.0,"Census Tract 93, Philadelphia County, PA",14000US42101009300
93,2018,2018,0,Total,16982,3519.0,"Census Tract 94, Philadelphia County, PA",14000US42101009400
94,2018,2018,0,Total,24792,11015.0,"Census Tract 95, Philadelphia County, PA",14000US42101009500
95,2018,2018,0,Total,27704,5927.0,"Census Tract 96, Philadelphia County, PA",14000US42101009600
96,2018,2018,0,Total,51250,4785.0,"Census Tract 98.01, Philadelphia County, PA",14000US42101009801
97,2018,2018,0,Total,54058,10592.0,"Census Tract 98.02, Philadelphia County, PA",14000US42101009802
98,2018,2018,0,Total,42256,9624.0,"Census Tract 100, Philadelphia County, PA",14000US42101010000
99,2018,2018,0,Total,45244,11893.0,"Census Tract 101, Philadelphia County, PA",14000US42101010100
100,2018,2018,0,Total,23247,4482.0,"Census Tract 102, Philadelphia County, PA",14000US42101010200
101,2018,2018,0,Total,22368,6343.0,"Census Tract 103, Philadelphia County, PA",14000US42101010300
